code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
360,"Sweet potato, fresh-AP",Viazi vitamu na maganda,74,1.2,0,0,0.1,17.5,0,0,0,0,2.2,2,74,1.2,0,0,0.1,17.5,0,0,0,0,2.2,2,7,20,40,14,251,7,0.4,0,0.2,0.15,4,1056,0,0,4,18,0.05,0.09,0.4,0.17,17,0,0.47
361,"Sweet potato, fresh--EP",Viazi vitamu bila maganda,103,1.7,0,0,0.1,24.3,0,0,0,0,3,2.8,103,1.7,0,0,0.1,24.3,0,0,0,0,3,2.8,10,28,55,20,348,10,0.5,0,0.3,0.21,0.56,1467,0,0,5,25,0.07,0.13,0.6,0.24,23,0,0.65
362,"Cassava, dried ",Mhogo mkavu,314,2.6,0,0,0.7,76.6,0.2,0.2,0.2,0,3.6,2.2,314,2.6,0,0,0.7,76.6,0.2,0.2,0.2,0,3.6,2.2,130,46,168,24,583,5,1.9,0,0.7,0.12,0.26,14,0,0,0,72,0.31,0.05,1.4,0.7,36,0,0.7
364,"Cassava, spicy crisps or chips",Chips za mihogo,288,2.4,0,0,0.7,70.2,0.2,0.2,0.2,0,3.3,2,288,2.4,0,0,0.7,70.2,0.2,0.2,0.2,0,3.3,2,119,42,154,22,535,4,1.8,0,0.7,0.11,0.24,13,0,0,0,66,0.29,0.04,1.3,0.64,33,0,0.64
365,"Breadfruit, raw", Sheli sheli mbichi,0,52,64,85,37,10,9,26,19,47,0,0,103,1.07,0,0,0.23,27.12,0.048,0.034,0.066,0,4.9,11,0,17,30,25,490,2,0.5,0,0.1,0.08,0.06,0,0,0,0.1,29,0.11,0.03,0.9,0.1,14,0,0.457
365,"Breadfruit, raw", Sheli sheli mbichi,107,1.7,0,0,0.5,25.5,0.1,0,0.1,0,1.5,3.1,103,1.07,0,0,0.23,27.12,0.048,0.034,0.066,0,4.9,11,0,17,30,25,490,2,0.5,0,0.1,0.07,0.1,4,0,0,1,29,0.09,0.03,0.8,0.3,10,0,0.56
366,"Squash, fresh-EP",Boga la kupikwa,8,22,33,53,50,13,10,32,24,41,38,20,20,0.9,0,0,0.3,4.3,0.1,0,0.1,0,1.4,0.2,0,27,39,24,192,1,0.4,0,0.4,0.1,0.21,29,0,0,0,6,0.04,0.04,0.5,0.07,20,0,0.14
367,"Edible starch, tapioca or corn",Wanga (mahindi/magimbi),1,9,10,36,6,6,6,13,10,14,12,8,381,0.3,0,0,0.1,91.3,0,0,0,0,0.9,0,0,2,13,3,3,9,0.5,0,0.1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0
368,"Yam, raw",Yam Viazi vikuu,12,52,50,94,58,20,18,69,39,60,124,33,97,2.1,0,0,0.1,22.9,0,0,0.1,0,1.2,0.4,50,8,39,26,303,3,0.8,0,0.5,0.17,0.24,0,0,0,5,12,0.1,0.03,0.6,0.23,16,0,0.31
369,"Sweet potato, orange",Viazi vitamu ya nyekundi -njano,21,86,86,126,85,42,14,103,71,112,80,32,103,1.7,0,0,0.1,24.3,0,0,0,0,3,2.8,10,28,55,20,348,10,0.5,0,0.3,0.21,0.56,1467,0,0,5,25,0.07,0.13,0.6,0.24,23,0,0.65
401,"Amaranth, leaves, raw", Mchicha mbichi,24,130,175,306,173,51,32,168,116,196,196,87,23,8.5,0,0,0.5,8.5,0.1,0,0.1,0,4.2,0,42,96.9,50,55,380.9,6.6,2.3,0,0.6,0.2,0.9,146,0,0,0,44.5,0.5,7.6,0.658,0.192,85,0,0.064
402,"Cabbage, cooked",Kabichi ya kupika,6,22,32,33,30,6,5,20,11,27,36,13,14,0.6,0,0,0.3,2.8,0.1,0,0.1,0,1.8,0.3,0,20,9,5,61,5,0.1,0,0.1,0.01,0.08,8,0,0,0,13,0.04,0.04,0.2,0.07,13,0,0.09
403,"Cabbage, raw, green, white", Kabichi nyeupe,10,35,51,52,47,10,8,32,17,43,57,20,25,1.28,0,0,0.1,5.8,0.034,0.017,0.017,0,2.5,3.2,0,40,26,12,170,18,0.5,0,0.2,0.01,0.2,5,0,0,0.15,36.6,0.061,0.04,0.234,0.124,43,0,0.212
404,"Carrots, raw",Karoti isiyopikwa,12,40,43,46,43,7,9,34,21,46,45,17,41,0.93,0,0,0.24,9.58,0.037,0.014,0.117,0,2.8,4.74,9,33,35,12,320,69,0.3,0,0.2,0,0.1,841,0,0,0.66,5.9,0.066,0.058,0.983,0.138,19,0,0.273
405,"Cauliflower, cooked without salt",Kaoliflower,15,49,72,73,67,14,12,45,24,61,81,29,12,0.7,0,0,0.1,2.6,0,0,0,0,1.1,0.2,0,23,11,7,121,9,0.3,0,0.1,0.01,0.08,6,0,0,0,16,0.02,0.02,0.1,0.05,21,0,0.07
406,"Cauliflower, raw",Kaoliflower mbichi,12,36,31,50,43,12,19,30,20,41,46,20,25,1.98,0,0,0.1,5.3,0.032,0.014,0.099,0,2.5,2.4,0,22,44,15,303,30,0.4,0,0.3,0.02,0.16,1,0,0,0.08,46.4,0.057,0.063,0.526,0.222,57,0,0.652
